Mac-ID,SMILES,Avg-B-Score,Avg-Res-Growth,Active
MAC-0001312,"C(=S)(N1CCC(CC1)O)NC1CCCCCCC1	",2.9425,0.9135,0
MAC-0001315,"[N+](=O)(c1c(N2CCN(C(=S)Nc3cc(c(cc3)C)Cl)CCC2)nccc1)[O-]	",-0.234,0.8925,0
MAC-0001320,"C(=S)(N1CCN(Cc2ccc(F)cc2)CCC1)NC1CCCCC1	",-1.8035,0.903,0
MAC-0001331,"C(=O)(N1CCC(CC1)O)Nc1c(OC(F)(F)F)cc(cc1)F	",-0.798,0.917,0
MAC-0001332,"[N+](=O)(c1cnc(N2CCN(C(=O)C(C)(C)C)CCC2)cc1)[O-]	",-0.1855,0.9385,0
MAC-0001333,"C(=S)(Nc1cc(ccc1OC)Cl)N1CCN(Cc2ccc(F)cc2)CCC1	",4.7725,1.052,0
MAC-0001347,"c1(c(cc(c(n1)C)C(=O)OC)C(=O)OCC)N1CCN(Cc2ccc(F)cc2)CCC1	",-3.8075,0.8925,0
MAC-0001348,"c1(C(=O)Oc2cc3c(OCO3)cc2)c(nc(C(F)(F)F)cc1)C	",-0.1785,0.8535,0
MAC-0001350,"c1(C(=O)Nc2c(F)cccc2)c(nc(C(F)(F)F)cc1)C	",-0.2315,0.896,0
MAC-0001351,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NNC(=O)c1sccc1	",2.001,0.9205,0
MAC-0001358,"n1c(C(F)(F)F)ccc(c1C)NC(=O)/C=C/C(=O)O	",0.021,0.9275,0
MAC-0001359,"c1(c(nc(c(c1)C(=O)OC)C)SCC(=O)OC)C(=O)OCC	",-1.4785,0.9205,0
MAC-0001362,"n1c(C(F)(F)F)ccc(c1C)C#N	",2.4915,0.9705,0
MAC-0001366,"c1(c(=O)[nH]c(C(F)(F)F)cc1)C(=O)N	",1.5985,1.034,0
MAC-0001372,"C(c1nc(ncc1)NCCNCC(c1ccccc1)O)(F)(F)F	",-1.1805,0.9205,0
MAC-0001376,"C(c1nc(ncc1)NCCNCC(CSc1ccc(F)cc1)O)(F)(F)F	",4.9745,0.903,0
MAC-0001377,"C(c1nc(ncc1)NCCNC(=O)CSCC(=O)O)(F)(F)F	",-2.5705,0.882,0
MAC-0001380,"n1n(cc(c1C(F)(F)F)C)c1c(cc([N+](=O)[O-])cc1)NC(=O)C	",0.482,0.9135,0
MAC-0001383,"S(=O)(=O)(c1c(nn(c1)C)C(F)(F)F)n1nc(c(c1)C)C(F)(F)F	",0.208,0.935,0
MAC-0001387,"C(c1nc(ncc1)NCCNC(=O)Nc1c(cc(cc1)CCCC)C)(F)(F)F	",0.3385,0.9425,0
MAC-0001388,"C(c1cnc(NCCNC(=O)Nc2c(c(Cl)ccc2)Cl)cc1)(F)(F)F	",6.3495,1.0095,0
MAC-0001390,"C(c1nc(ncc1)NCCNC(=S)Nc1cc2c(OCCO2)cc1)(F)(F)F	",-1.173,1.0165,0
MAC-0001393,"C(c1nc(ncc1)NCCNC(=S)NCCc1ccccc1)(F)(F)F	",-1.2455,0.9135,0
MAC-0001394,"n1c(C(F)(F)F)ccc(NC(=O)c2ccc(C(F)(F)F)cc2)c1C	",0.3105,0.857,0
MAC-0000003,"n1(ccc2c1cccc2)CC(O)CNCCNc1nc(C(F)(F)F)ccn1	",-0.5735,0.8925,0
MAC-0001397,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NNC(=S)Nc1cc(c(cc1)F)Cl	",-1.235,0.8925,0
MAC-0001400,"c1(c(nc(c(c1)C#N)C)N(CC)CC)C(=O)OCC	",0.92,0.935,0
MAC-0001401,"c1(c(nc(C(F)(F)F)cc1)C)C(=O)NCCc1sccc1	",1.494,0.946,0
MAC-0001405,"c1(c(nc(c(c1)/C(=N/O)/N)C)C(F)(F)F)C(=O)OCC	",-0.355,0.9455,0
MAC-0001406,"c1([N+](=O)[O-])c(N2CCN(C(=O)Nc3ccc(Cl)cc3)CCC2)ccc(C(F)(F)F)c1	",1.645,1.034,0
MAC-0001407,"c1(c(nc(c(c1)C#N)C)C)C(=O)C	",-0.64,0.9275,0
MAC-0001408,"c1(c(nc(c2sccc2)cc1)C)C(=O)OC	",0.106,0.864,0
